NORMALS 1961-90		YRS	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	ANN
SALEM	OR	30	5.92	4.50	4.17	2.42	1.88	1.34	0.56	0.76	1.55	2.98	6.28	6.80	39.16
SALT LAKE CITY	UT	30	1.11	1.23	1.91	2.12	1.80	0.93	0.81	0.86	1.28	1.44	1.29	1.40	16.18
SAN ANGELO	TX	30	0.80	1.07	0.91	1.67	3.00	2.33	1.06	1.93	3.41	2.40	1.08	0.79	20.45
SAN ANTONIO	TX	30	1.71	1.81	1.52	2.50	4.22	3.81	2.16	2.54	3.41	3.17	2.62	1.51	30.98
SAN DIEGO	CA	30	1.80	1.53	1.77	0.79	0.19	0.07	0.02	0.10	0.24	0.37	1.45	1.57	9.90
SAN FRANCISCO AP	CA	30	4.35	3.17	3.06	1.37	0.19	0.11	0.03	0.05	0.20	1.22	2.86	3.09	19.70
SAN FRANCISCO CO	CA	30	4.06	2.95	3.07	1.29	0.25	0.15	0.04	0.07	0.26	1.26	3.21	3.10	19.71
SAN JUAN	PR	30	2.81	2.15	2.35	3.76	5.93	4.00	4.37	5.32	5.28	5.71	5.94	4.72	52.34
SANTA BARBARA	CA	30	3.21	3.61	2.84	1.06	0.16	0.04	0.02	0.11	0.45	0.52	2.03	2.20	16.25
SANTA MARIA	CA	30	2.16	2.62	2.27	0.99	0.20	0.03	0.01	0.05	0.30	0.49	1.46	1.78	12.36
SAULT STE. MARIE	MI	30	2.42	1.74	2.30	2.35	2.71	3.14	2.71	3.61	3.69	3.23	3.45	2.88	34.23
SAVANNAH	GA	30	3.59	3.22	3.78	3.03	4.09	5.66	6.38	7.46	4.47	2.39	2.19	2.96	49.22
SCOTTSBLUFF	NE	30	0.50	0.47	1.09	1.58	2.77	2.64	2.06	1.07	1.10	0.81	0.62	0.56	15.27
SEATTLE CO	WA	30	5.35	4.03	3.77	2.51	1.84	1.59	0.85	1.22	1.94	3.25	5.65	6.00	38.00
SEATTLE SEA-TAC AP	WA	30	5.38	3.99	3.54	2.33	1.70	1.50	0.76	1.14	1.88	3.23	5.83	5.91	37.19
SHERIDAN	WY	30	0.73	0.64	0.97	1.72	2.39	2.25	0.88	0.82	1.37	1.18	0.83	0.70	14.48
SHREVEPORT	LA	30	3.88	3.92	3.59	3.75	5.18	4.29	3.67	2.43	3.12	3.73	4.45	4.10	46.11
SIOUX CITY	IA	30	0.55	0.71	1.96	2.34	3.67	3.71	3.27	2.97	2.88	1.94	1.08	0.78	25.86
SIOUX FALLS	SD	30	0.51	0.64	1.64	2.52	3.03	3.40	2.68	2.85	3.02	1.78	1.09	0.70	23.86
SOUTH BEND	IN	30	2.23	1.90	3.10	3.82	3.22	4.11	3.82	3.67	3.62	3.08	3.27	3.30	39.14
SPOKANE	WA	30	1.98	1.49	1.49	1.18	1.41	1.26	0.67	0.72	0.73	0.99	2.15	2.42	16.49
SPRINGFIELD	IL	30	1.51	1.77	3.24	3.68	3.62	3.43	3.52	3.29	3.33	2.60	2.53	2.73	35.25
SPRINGFIELD	MO	30	1.79	2.17	3.89	4.18	4.38	5.09	2.92	3.51	4.62	3.58	3.75	3.16	43.04
ST. LOUIS	MO	30	1.81	2.12	3.58	3.50	3.97	3.72	3.85	2.85	3.12	2.68	3.28	3.03	37.51
STOCKTON	CA	30	2.84	1.97	2.17	1.08	0.26	0.08	0.06	0.07	0.35	0.79	2.17	2.11	13.95
ST. PAUL ISLAND	AK	30	1.85	1.33	1.22	1.34	1.28	1.23	1.90	2.75	2.59	2.81	2.80	2.22	23.32
SYRACUSE	NY	30	2.34	2.15	2.77	3.33	3.28	3.79	3.81	3.51	3.79	3.24	3.72	3.20	38.93
TALKEETNA	AK	30	1.30	1.44	1.46	1.59	1.67	2.63	3.63	4.52	4.23	3.10	1.73	1.91	29.21
TALLAHASSEE	FL	30	4.77	5.56	6.21	3.74	4.75	6.93	8.82	7.53	5.58	2.92	3.87	5.03	65.71
TAMPA	FL	30	1.99	3.08	3.01	1.15	3.10	5.48	6.58	7.61	5.98	2.02	1.77	2.15	43.92
TOLEDO	OH	30	1.75	1.73	2.66	2.96	2.91	3.75	3.27	3.25	2.85	2.10	2.81	2.93	32.97
TOPEKA	KS	30	0.95	1.04	2.46	3.08	4.45	5.54	3.59	3.89	3.81	3.06	1.93	1.43	35.23
TUCO	AZ	30	0.87	0.70	0.72	0.30	0.18	0.20	2.37	2.19	1.67	1.06	0.67	1.07	12.00
TULSA	OK	30	1.54	1.97	3.46	3.72	5.60	4.44	3.09	3.12	4.70	3.66	3.13	2.16	40.59
TUPELO	MS	30	4.89	4.72	6.07	5.25	5.72	3.84	4.30	3.05	3.60	3.42	4.85	6.16	55.87
UNALAKLEET	AK	30	0.69	0.51	0.70	0.63	0.87	1.35	2.28	3.04	2.28	1.24	1.09	0.91	15.59
VALDEZ	AK	30	5.60	5.13	4.70	3.16	3.83	3.08	3.84	5.96	8.37	8.07	5.50	6.80	64.04
VALENTINE	NE	30	0.29	0.43	1.04	1.67	3.16	2.89	3.06	2.28	1.53	0.91	0.60	0.37	18.23
VERO BEACH	FL	30	2.14	2.91	3.09	1.90	4.36	6.46	6.09	6.10	7.15	5.52	3.27	2.17	51.16
VICOIA	TX	30	2.16	2.00	1.55	2.41	4.50	4.89	3.34	3.01	5.60	3.46	2.45	2.04	37.41
WACO	TX	30	1.65	2.09	2.33	3.19	4.58	3.28	1.99	1.68	3.52	3.36	2.43	1.86	31.96
WAKE ISLAND	PC	30	1.16	1.60	2.23	2.51	1.74	2.29	4.02	6.16	5.07	4.33	2.79	1.78	35.68
WALLOPS ISLAND	VA	30	3.38	3.34	3.67	2.67	3.60	3.34	3.94	3.73	3.28	2.83	2.81	3.34	39.93
WASHINGTON DULLES AP	DC	30	2.70	2.81	3.17	3.11	4.02	3.92	3.49	3.94	3.36	3.20	3.30	3.22	40.24
WASHINGTON NAT'L AP	DC	30	2.72	2.71	3.17	2.71	3.66	3.38	3.80	3.91	3.31	3.02	3.12	3.12	38.63
WATERLOO	IA	30	0.80	1.08	2.30	3.30	4.08	4.47	4.83	3.64	3.51	2.57	1.82	1.30	33.70
WEST PALM BEACH	FL	30	2.80	2.69	3.66	2.91	6.13	8.09	6.14	6.02	8.53	6.60	4.69	2.49	60.75
WICHITA FALLS	TX	30	1.04	1.46	2.21	3.01	4.07	3.52	1.72	2.48	3.82	2.74	1.54	1.29	28.90
WICHITA	KS	30	0.79	0.96	2.43	2.38	3.81	4.31	3.13	3.02	3.49	2.22	1.59	1.20	29.33
WILLIAMSPORT	PA	30	2.54	2.76	3.19	3.23	3.86	4.32	3.98	3.39	3.39	3.30	3.73	3.03	40.72
WILLISTON	ND	30	0.53	0.42	0.69	1.28	1.99	2.28	2.10	1.25	1.33	0.77	0.45	0.58	13.67
WILMINGTON	DE	30	3.03	2.91	3.43	3.39	3.84	3.55	4.23	3.40	3.43	2.88	3.27	3.48	40.84
WILMINGTON	NC	30	3.87	3.70	3.88	2.87	4.43	5.98	8.13	6.94	5.04	2.69	3.11	3.63	54.27
WINNEMUCCA	NV	30	0.74	0.62	0.78	0.84	0.83	0.86	0.27	0.45	0.40	0.62	0.94	0.88	8.23
WINSLOW	AZ	30	0.45	0.52	0.55	0.26	0.31	0.31	1.20	1.39	0.91	0.91	0.57	0.66	8.04
WORCESTER	MA	30	3.68	3.46	3.95	3.91	4.33	3.88	3.85	3.82	4.01	4.32	4.49	4.05	47.75
YAKIMA	WA	30	1.21	0.74	0.67	0.50	0.45	0.53	0.16	0.40	0.40	0.47	1.03	1.41	7.97
YAKUTAT	AK	30	12.18	10.67	10.72	9.92	9.66	7.30	8.18	11.54	18.65	22.97	14.52	14.94	151.25
YA W CAROLINE IS	PC	30	7.33	5.98	5.96	5.76	9.06	12.69	14.54	15.20	13.51	11.97	9.07	8.99	120.06
YOUNGSTOWN	OH	30	2.13	2.03	3.11	3.06	3.52	3.94	4.07	3.32	3.48	2.62	3.11	2.93	37.32
YUMA	AZ	30	0.35	0.22	0.21	0.14	0.04	0.02	0.26	0.64	0.31	0.29	0.24	0.45	3.17
